# Taxa	W1	W10	W11	W12	W13	W14	W15	W16	W17	W19	W2	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W3	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W4	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W5	W50	W51	W52	W53	W54	W55	W56	W57	W58	W59	W6	W60	W7	W8	W9
D_0__Bacteria_D_1__Cyanobacteria	0.100215517	0.190049751	0.135672515	0.187058824	0.049440299	0.168382353	0.144886364	0.196101595	0.269205077	0.090718772	0.151586369	0.533549784	0.172839506	0.151028278	0.11062225	0.138305576	0.143133462	0.28028028	0.10007758	0.14613619	0.07533065	0.113888889	0.110044786	0.149967256	0.124618204	0.061978546	0.127432517	0.152698864	0.267073171	0.191990577	0.099232737	0.141954023	0.159457167	0.209079284	0.060359837	0.179880648	0.092778793	0.121495327	0.113828786	0.145172657	0.157413914	0.086306654	0.126448363	0.128813559	0.183889341	0.192556634	0.158785756	0.105765243	0.078332034	0.115028647	0.156756757	0.199564586	0.165730337	0.129418162	0.116847826	0.169284468	0.126106195	0.055555556	0.083941606
D_0__Bacteria_D_1__Proteobacteria	0.463362069	0.35721393	0.583625731	0.537647059	0.57369403	0.415441176	0.520833333	0.486119315	0.431529726	0.403349616	0.461809636	0.241341991	0.474537037	0.440231362	0.494657448	0.494569153	0.521276596	0.328328328	0.552366175	0.456771232	0.560092007	0.426851852	0.49328215	0.45448592	0.515577276	0.509535161	0.510985562	0.4765625	0.370121951	0.465842167	0.475191816	0.465517241	0.489397795	0.459079284	0.561230412	0.490196078	0.516453382	0.504672897	0.554092192	0.538407329	0.509486999	0.572324012	0.507304786	0.485875706	0.618388934	0.4201726	0.516053707	0.516798009	0.522603274	0.492287351	0.474474474	0.419448476	0.351825843	0.435019032	0.366847826	0.539267016	0.48340708	0.54040404	0.523722628
D_0__Bacteria_D_1__Bacteroidetes	0.313577586	0.385074627	0.216374269	0.191764706	0.281716418	0.290441176	0.227272727	0.231541642	0.243152973	0.374738311	0.273795535	0.182900433	0.257716049	0.29562982	0.295411691	0.244750181	0.241779497	0.25025025	0.200930954	0.253251721	0.223691777	0.347222222	0.314779271	0.283562541	0.247403787	0.300357569	0.215317012	0.230823864	0.26402439	0.204358068	0.272634271	0.274137931	0.236641221	0.210997442	0.284968079	0.246376812	0.298446069	0.236137072	0.189087488	0.23255814	0.209416725	0.202025072	0.201511335	0.285875706	0.149715216	0.255124056	0.242265032	0.243882207	0.240062354	0.263552226	0.273873874	0.261248186	0.327247191	0.320282762	0.384057971	0.197789412	0.274336283	0.281144781	0.302919708
D_0__Bacteria_D_1__Verrucomicrobia	0.096982759	0.030845771	0.057309942	0.063529412	0.065298507	0.082352941	0.089015152	0.053160071	0.04008016	0.083740405	0.089306698	0.007575758	0.078703704	0.07840617	0.074795726	0.071687183	0.064796905	0.088088088	0.093871218	0.104820199	0.090856814	0.07962963	0.027511196	0.060903733	0.056200367	0.085220501	0.069052103	0.086647727	0.051829268	0.043580683	0.10741688	0.073563218	0.094995759	0.047953964	0.049912943	0.05541347	0.031535649	0.086604361	0.075258702	0.051444679	0.049894589	0.093539055	0.092695214	0.080225989	0.016273393	0.059331176	0.029772329	0.058067192	0.077162899	0.054208903	0.04984985	0.076197388	0.122191011	0.077759652	0.093297101	0.055846422	0.097345133	0.075757576	0.079379562
D_0__Bacteria_D_1__Firmicutes	0.00862069	0.0	0.004678363	0.002352941	0.001865672	0.011029412	0.001893939	0.0	0.0	0.003489184	0.008225617	0.017316017	0.0	0.0	0.003142678	0.007965243	0.0	0.016016016	0.00155159	0.0	0.008050604	0.00462963	0.0	0.009168304	0.001832621	0.0	0.008788449	0.0078125	0.01097561	0.030035336	0.003069054	0.014942529	0.0	0.00831202	0.0	0.011935209	0.004113346	0.002492212	0.010348071	0.014094433	0.00983837	0.0	0.008060453	0.010169492	0.011391375	0.007011866	0.008756567	0.001659063	0.015198753	0.001322168	0.001201201	0.006531205	0.00491573	0.003806417	0.007246377	0.00814427	0.014380531	0.0	0.0
D_0__Bacteria_D_1__Actinobacteria	0.0	0.018905473	0.0	0.0	0.018656716	0.0	0.0	0.013585351	0.0	0.010467551	0.0	0.017316017	0.0	0.009640103	0.0	0.020999276	0.01450677	0.0	0.034910784	0.0	0.0	0.012962963	0.022392834	0.008513425	0.035430666	0.010131108	0.030759573	0.021306818	0.008536585	0.032979976	0.017391304	0.0	0.016115352	0.022378517	0.022634939	0.0	0.007312614	0.011214953	0.044214487	0.014094433	0.035839775	0.019768563	0.034256927	0.0	0.011391375	0.0399137	0.008172796	0.031936956	0.021044427	0.039665051	0.026426426	0.019593614	0.014747191	0.009244154	0.009057971	0.004072135	0.0	0.037037037	0.004562044
D_0__Bacteria_D_1__Planctomycetes	0.010775862	0.0	0.0	0.011764706	0.002798507	0.0	0.0	0.0	0.014696059	0.010467551	0.015276146	0.0	0.0	0.013496144	0.013199246	0.0	0.0	0.026026026	0.0	0.012241775	0.017826337	0.0	0.001919386	0.01702685	0.009163103	0.0	0.001255493	0.0	0.004268293	0.010011779	0.003069054	0.0	0.0	0.023017903	0.0	0.0	0.023765996	0.014953271	0.0	0.00422833	0.014757554	0.00289296	0.008060453	0.0	0.0	0.005933118	0.019848219	0.007465782	0.01441933	0.01895108	0.002402402	0.001451379	0.0	0.006525285	0.009057971	0.011634671	0.0	0.0	0.003649635
D_0__Bacteria_D_1__Chloroflexi	0.0	0.013930348	0.0	0.005882353	0.0	0.018382353	0.016098485	0.011813349	0.0	0.010467551	0.0	0.0	0.013888889	0.010282776	0.008170962	0.013034033	0.007736944	0.011011011	0.010085337	0.019892884	0.013225992	0.010185185	0.017274472	0.010478062	0.004276115	0.015494636	0.018204645	0.021306818	0.017073171	0.016489988	0.011253197	0.01954023	0.0	0.017263427	0.012188044	0.010230179	0.009597806	0.013084112	0.010348071	0.0	0.00983837	0.010607522	0.013098237	0.0	0.008950366	0.013484358	0.011091652	0.023226877	0.02182385	0.012340238	0.015015015	0.01233672	0.010533708	0.014681892	0.013586957	0.013961606	0.0	0.01010101	0.0
D_0__Bacteria_D_1__Acidobacteria	0.0	0.0	0.0	0.0	0.006529851	0.0125	0.0	0.005906675	0.0	0.007676204	0.0	0.0	0.002314815	0.0	0.0	0.008689356	0.0	0.0	0.0	0.001530222	0.008625647	0.0	0.005118362	0.0	0.005497862	0.009535161	0.009416196	0.0	0.0	0.003533569	0.0	0.009195402	0.003392706	0.0	0.008705746	0.0	0.009140768	0.005607477	0.0	0.0	0.0	0.006750241	0.006549118	0.0	0.0	0.0	0.00525394	0.005806719	0.005066251	0.002644337	0.0	0.003628447	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Omnitrophicaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001336005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001309758	0.0	0.0	0.0	0.0	0.001219512	0.0	0.001023018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001618123	0.0	0.0	0.000779423	0.0	0.0	0.0	0.001404494	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea_D_1__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001078749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Latescibacteria	0.0	0.0	0.0	0.0	0.0	0.001470588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Chlamydiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001964637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002696872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Archaea_D_1__Nanoarchaeaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001191895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Patescibacteria	0.0	0.0039801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004884857	0.0	0.0	0.0	0.001285347	0.0	0.0	0.006769826	0.0	0.006206362	0.005355777	0.001150086	0.00462963	0.006397953	0.0	0.0	0.006555423	0.006277464	0.0	0.004878049	0.0	0.008184143	0.0	0.0	0.001918159	0.0	0.004262575	0.006855576	0.003738318	0.002822201	0.0	0.003513703	0.005785921	0.001007557	0.009039548	0.0	0.0	0.0	0.005391954	0.001558846	0.0	0.0	0.0	0.0	0.003262643	0.0	0.0	0.004424779	0.0	0.001824818
D_0__Bacteria_D_1__Dependentiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001279591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00170503	0.0	0.0	0.0	0.0	0.0	0.0	0.001007557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Epsilonbacteraeota	0.002155172	0.0	0.0	0.0	0.0	0.0	0.0	0.001772002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002840909	0.0	0.001177856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001078749	0.0	0.0	0.001948558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Fibrobacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001149425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria___	0.0	0.0	0.002339181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001150086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001404494	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Gemmatimonadetes	0.004310345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001309758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001534527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001255493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001309758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria_D_1__Acetothermia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001255493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
