no,sample-id,sample-type,pond-name,sample-type-pond,sample-location,sample-water-location,sample-depth,sample-location-depth,time-of-day,dna-elution-vol,dna-concentration,dna-qual,Date,Time,Site,SampleID,Depth,Time of Day,Temperature,DO mg/L,SPC-uS/cm,pH,UVNOx mg/L,NTU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,fDOM RFU,fDOM ppb,DEP m,ALT m,Lat,Lon,PO4,NH3,NO3,ECCFU,ECMPN,TC ,TIC,TN,NN,TOC,CDOM,INV,PHYC
1,W1,water,Wye,Wye_water,L1,Bank,D1,Bank_D1,T1_9am,75,44.8,1.98,9/15/22,09:00:14AM,wye,W1_L1_D1_T1,1,1,23.667,7.31,185.1,7.1,-0.31,12.61,5.45,5.41,27.76,111.61,15.43,48.17,0.147,1.3,38.9156,-76.14122,0.846,0.2239,0.042,25.5,38.4,19.929,10.83,1.119,0.21,9.099,154.73028,1357,189.969352
2,W2,water,Wye,Wye_water,L2,Interior,D1,Interior_D1,T1_9am,75,48,2.03,9/15/22,09:02:54AM,wye,W2_L2_D1_T1,1,1,23.658,6.37,185.5,7.03,-0.2,12.13,5.12,5.08,25.07,100.83,15.63,48.79,0.149,2.2,38.91574,-76.14131,0.918,0.2977,0.036,27,45,21.362,11.636,1.463,NA,9.726,154.85134,1637,114.81284
3,W3,water,Wye,Wye_water,L2,Interior,D2,Interior_D2,T1_9am,75,32.8,2.14,9/15/22,09:04:29AM,wye,W3_L2_D2_T1,2,1,23.574,5.13,186.1,6.96,-0.2,12.5,4.36,4.33,20.37,81.92,15.84,49.45,1.024,1,38.91576,-76.1413,0.838,0.3792,0.041,21.5,52,20.43,10.915,1.575,NA,9.515,141.29262,1170,103.2366
4,W4,water,Wye,Wye_water,L2,Interior,D3,Interior_D3,T1_9am,75,29.8,2.12,9/15/22,09:06:30AM,wye,W4_L2_D3_T1,3,1,23.56,5.27,186.1,6.97,-0.26,11.86,4.3,4.28,22.32,89.75,15.85,49.48,1.938,-0.9,38.91574,-76.14127,0.841,0.352,0.037,25.5,29.2,19.977,11.03,1.419,NA,8.947,141.53474,1280,97.22586
5,W5,water,Wye,Wye_water,L3,Bank,D1,Bank_D1,T1_9am,75,24.7,2.15,9/15/22,09:13:03AM,wye,W5_L3_D1_T1,1,1,23.783,7.74,185,7.11,-0.25,11.88,5.4,5.36,21.89,88.03,15.5,48.39,0.097,0.9,38.91595,-76.14146,0.822,0.1762,0.048,27.5,33.1,21.755,11.716,1.316,NA,10.039,131.3657,1130,94.376324
6,W6,water,Wye,Wye_water,L4,Bank,D1,Bank_D1,T1_9am,75,80,2.04,9/15/22,09:08:25AM,wye,W6_L4_D1_T1,1,1,23.743,8.14,184.6,7.15,-0.23,15.87,8.93,8.87,44.12,177.45,14.63,45.67,0.092,0.6,38.91597,-76.14125,0.84,0.1126,0.084,10,11,19.863,10.317,1.23,0.208,9.546,184.38998,2327,196.113664
7,W7,water,Wye,Wye_water,L5,Interior,D1,Interior_D1,T1_9am,75,71.1,2.03,9/15/22,09:15:50AM,wye,W7_L5_D1_T1,1,1,23.817,8.35,184,7.12,-0.08,21.02,14.48,14.38,95.02,382.2,14.51,45.32,0.115,1.6,38.91615,-76.14133,0.841,0.13,0.131,7.5,5.2,22.706,11.833,1.32,NA,10.873,165.74674,1778,116.81642
8,W8,water,Wye,Wye_water,L5,Interior,D2,Interior_D2,T1_9am,75,32.1,2.12,9/15/22,09:18:08AM,wye,W8_L5_D2_T1,2,1,23.592,4.46,186.5,6.92,-0.42,12.04,4.63,4.6,25.4,102.13,15.79,49.3,1.162,0.2,38.91614,-76.14137,0.869,0.3307,0.241,20,12.1,21.266,11.689,1.554,NA,9.577,141.0505,1199,106.709472
9,W9,water,Wye,Wye_water,L5,Interior,D3,Interior_D3,T1_9am,75,44.3,2.02,9/15/22,09:19:27AM,wye,W9_L5_D3_T1,3,1,23.526,2.45,191.4,6.76,0.32,14.71,2.59,2.58,11.44,45.97,16.09,50.25,2.078,0.5,38.91615,-76.14137,1.1,0.721,0.048,23,14.6,22.685,12.279,2.109,NA,10.406,124.94952,859.7,88.721776
10,W10,water,Wye,Wye_water,L6,Bank,D1,Bank_D1,T1_9am,75,40.3,2.05,9/15/22,09:21:46AM,wye,W10_L6_D1_T1,1,1,23.815,6.45,184.9,7,-0.33,15.17,8.32,8.26,39.49,158.83,14.63,45.67,0.037,1.3,38.91636,-76.14145,0.874,0.1618,0.062,5.5,6.3,22.886,12.396,1.212,NA,10.49,133.06054,1008,145.75702
11,W11,water,Wye,Wye_water,L7,Bank,D1,Bank_D1,T1_9am,75,86.4,2,9/15/22,09:23:36AM,wye,W11_L7_D1_T1,1,1,23.669,5.36,184.6,6.94,-0.22,14.77,7.78,7.73,41.39,166.45,14.9,46.53,0.036,-0.3,38.91634,-76.14127,0.855,0.1496,0.117,5,14.8,21.046,10.96,1.387,NA,10.086,221.31328,2918,330.041856
12,W12,water,Wye,Wye_water,L8,Interior,D1,Interior_D1,T1_9am,75,67.5,2.02,9/15/22,09:25:15AM,wye,W12_L8_D1_T1,1,1,23.666,5.38,184.5,6.93,-0.37,15.5,10.94,10.87,55.11,221.66,14.49,45.24,0.032,0.6,38.91655,-76.14138,0.892,0.1917,0.076,3.5,8.5,22.02,11.753,1.371,0.221,10.267,159.69374,1637,125.72122
13,W13,water,Wye,Wye_water,L8,Interior,D2,Interior_D2,T1_9am,75,68.6,2.07,9/15/22,09:26:22AM,wye,W13_L8_D2_T1,2,1,23.615,4.57,184.7,6.9,-0.14,14.02,6.91,6.87,31.57,126.96,15.24,47.59,1.064,-0.5,38.91657,-76.14139,0.879,0.2179,0.043,4,6.3,21.729,11.359,1.62,0.227,10.37,165.8678,1957,139.74628
14,W14,water,Wye,Wye_water,L8,Interior,D3,Interior_D3,T1_9am,75,36.7,2.02,9/15/22,09:27:28AM,wye,W14_L8_D3_T1,3,1,23.486,7.86,183.2,7.11,-0.15,10.77,2.33,2.32,10.4,41.81,15.59,48.69,1.884,2,38.91658,-76.14136,0.766,0.1827,0.132,6.5,13.1,22.895,11.466,1.969,0.277,11.429,121.19666,797.1,76.032436
15,W15,water,Wye,Wye_water,L9,Bank,D1,Bank_D1,T1_9am,75,39.4,2.06,9/15/22,09:29:13AM,wye,W15_L9_D1_T1,1,1,23.781,5.66,184.6,6.96,-0.2,12.21,5.06,5.03,24.06,96.74,15.63,48.8,0.005,-0.3,38.91674,-76.14155,0.912,0.2113,0.176,5,3,21.68,11.81,1.406,0.213,9.87,135.96598,1216,97.849196
16,W16,water,Wye,Wye_water,L10,Bank,D1,Bank_D1,T1_9am,75,35.2,1.96,9/15/22,09:31:28AM,wye,W16_L10_D1_T1,1,1,23.747,6.82,183.8,7.02,-0.24,13.37,6.4,6.35,37.62,151.28,15.26,47.65,0.008,-0.2,38.91676,-76.14137,0.816,0.0981,0.281,2,6.3,21.693,11.58,1.226,0.217,10.113,141.0505,1306,152.88086
17,W17,water,Wye,Wye_water,L11,Interior,D1,Interior_D1,T1_9am,75,56.1,1.86,9/15/22,09:33:14AM,wye,W17_L11_D1_T1,1,1,24.113,10.05,183.6,7.26,-0.16,11.22,3.47,3.45,18.05,72.59,15.84,49.46,0.003,-0.1,38.91703,-76.14153,0.833,0.0815,0.153,7.5,3.1,22.119,11.489,1.479,0.225,10.63,135.72386,1010,174.964764
18,W18,water,Wye,Wye_water,L11,Interior,D2,Interior_D2,T1_9am,75,38.6,1.97,9/15/22,NA,NA,W18_L11_D2_T1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821,0.1284,0.171,7.5,8.6,24.715,11.795,2.309,0.249,12.92,134.51326,1189,100.164444
19,W19,water,Wye,Wye_water,L11,Interior,D3,Interior_D3,T1_9am,75,31.7,1.97,9/15/22,09:36:41AM,wye,W19_L11_D3_T1,3,1,23.514,8.42,183.4,7.15,-0.38,8.91,2.91,2.89,15.81,63.55,16.2,50.57,1.401,-0.6,38.91703,-76.14153,0.827,0.1702,0.158,14,13.4,23.205,12.068,1.727,0.24,11.137,121.31772,970.9,83.289848
20,W20,water,Wye,Wye_water,L12,Bank,D1,Bank_D1,T1_9am,75,39.8,1.94,9/15/22,09:39:57AM,wye,W20_L12_D1_T1,1,1,23.832,12.06,182.2,7.57,-0.34,14.24,7.25,7.2,47.51,191.08,15.08,47.07,0.033,-1.5,38.91731,-76.14156,0.804,0.043,0.072,3,3.1,22.862,11.806,1.37,0.224,11.056,177.48956,1064,555.1552
21,W21,water,Wye,Wye_water,L1,Bank,D1,Bank_D1,T2_12pm,75,27.3,2.03,9/15/22,11:54:57AM,wye,W21_L1_D1_T2,1,2,24.908,16.71,182.2,8.6,-0.51,16.14,8.46,8.41,37.43,150.54,14.51,45.31,0.031,-0.7,38.91558,-76.14117,0.768,0.0254,0.025,14,16,21.208,11.31,1.357,NA,9.898,149.88788,1291,126.077412
22,W22,water,Wye,Wye_water,L2,Interior,D1,Interior_D1,T2_12pm,75,29.6,1.96,9/15/22,11:57:33AM,wye,W22_L2_D1_T2,1,2,25.158,17.49,181.7,8.66,-0.3,19.14,6.54,6.5,29.39,118.2,14.09,43.99,0.023,0.2,38.91573,-76.1413,0.795,0.0333,0.056,11,8.5,21.386,11.346,1.303,0.205,10.04,144.44018,1337,117.840472
23,W23,water,Wye,Wye_water,L2,Interior,D2,Interior_D2,T2_12pm,75,21.8,1.99,9/15/22,11:58:35AM,wye,W23_L2_D2_T2,2,2,23.616,5.67,185,7.01,-0.59,9.41,2.1,2.09,8.47,34.03,15.68,48.95,1.058,-0.4,38.91575,-76.14132,0.857,0.3123,0.024,22,38.9,21.172,10.757,1.593,NA,10.415,120.28871,739.6,79.327212
24,W24,water,Wye,Wye_water,L2,Interior,D3,Interior_D3,T2_12pm,75,26.09,1.92,9/15/22,12:00:23PM,wye,W24_L2_D3_T2,3,2,23.53,4.06,187.1,6.92,-0.4,10.5,1.86,1.85,8.99,36.14,16.03,50.06,1.902,1.3,38.91575,-76.14128,0.871,0.4309,0.099,21.5,20.1,21.281,11.402,1.675,0.198,9.879,116.160564,681.1,75.141956
25,W25,water,Wye,Wye_water,L3,Bank,D1,Bank_D1,T2_12pm,75,30.3,1.99,9/15/22,12:03:50PM,wye,W25_L3_D1_T2,1,2,25.463,19.63,180.6,8.91,-0.79,23.32,10.37,10.3,53.08,213.48,13.11,40.93,0.057,1.1,38.91593,-76.14143,0.725,0.0458,0.046,25.5,42.6,20.688,10.872,1.208,0.201,9.816,142.50322,1106,98.517056
26,W26,water,Wye,Wye_water,L4,Bank,D1,Bank_D1,T2_12pm,75,16.07,2.05,9/15/22,12:05:25PM,wye,W26_L4_D1_T2,1,2,25.14,15.84,182.4,8.35,-0.25,23.74,5.18,5.15,18.85,75.77,13.7,42.77,0.068,2.6,38.91599,-76.14126,0.782,0.0729,0.043,8.5,8.4,21.674,11.063,1.297,0.21,10.611,125.55482,885.5,135.29388
27,W27,water,Wye,Wye_water,L5,Interior,D1,Interior_D1,T2_12pm,75,51.79,1.95,9/15/22,12:08:26PM,wye,W27_L5_D1_T2,1,2,25.256,20.12,179,8.9,-0.51,25.63,11.25,11.18,61.16,246,13.35,41.67,0.091,3.6,38.91614,-76.14135,1.118,0.0248,0.042,6,7.5,22.417,10.766,1.151,0.209,11.651,255.08902,4096,260.807036
28,W28,water,Wye,Wye_water,L5,Interior,D2,Interior_D2,T2_12pm,75,33.44,1.87,9/15/22,12:09:20PM,wye,W28_L5_D2_T2,2,2,23.631,5.27,184.8,6.99,-0.53,9.69,2.38,2.37,10.02,40.29,16.25,50.73,1.084,3.2,38.91615,-76.14138,0.887,0.2827,0.027,12,14.6,22.607,11.865,1.58,0.204,10.742,122.64938,870.6,73.40552
29,W29,water,Wye,Wye_water,L5,Interior,D3,Interior_D3,T2_12pm,75,30.29,1.92,9/15/22,12:10:44PM,wye,W29_L5_D3_T2,3,2,23.474,5.69,185.5,6.9,0.07,11.52,1.86,1.85,9.22,37.04,16.2,50.58,1.959,9.1,38.91616,-76.1414,0.948,0.4401,0.095,13,7.3,22.559,11.701,1.754,0.248,10.858,112.371386,648.8,72.203372
30,W30,water,Wye,Wye_water,L6,Bank,D1,Bank_D1,T2_12pm,75,26.36,1.99,9/15/22,12:12:59PM,wye,W30_L6_D1_T2,1,2,24.641,16.66,182.1,8.3,-0.67,18.44,10.28,10.21,54.47,219.09,14.9,46.52,0.041,5.1,38.91633,-76.14144,0.867,0.0994,0.055,7.5,9.8,22.842,11.677,1.271,0.222,11.165,138.6293,1207,164.857816
31,W31,water,Wye,Wye_water,L7,Bank,D1,Bank_D1,T2_12pm,75,14.82,2,9/15/22,12:14:34PM,wye,W31_L7_D1_T2,1,2,25.077,19.62,180.5,8.8,-0.55,22.51,11.24,11.16,58.95,237.08,14.14,44.14,0.015,4.9,38.91636,-76.14127,0.788,0.0231,0.044,4,1,21.482,10.964,1.235,0.203,10.518,123.61786,894.7,94.020132
32,W32,water,Wye,Wye_water,L8,Interior,D1,Interior_D1,T2_12pm,75,99.99,1.92,9/15/22,12:17:51PM,wye,W32_L8_D1_T2,1,2,25.143,20.12,179.7,8.89,-0.6,25.12,18.92,18.79,102.53,412.41,12.73,39.75,0.046,0.4,38.91656,-76.1414,0.847,0.0468,0.056,4,4.1,21.965,11.16,1.22,0.211,10.805,205.2123,2106,147.31536
33,W33,water,Wye,Wye_water,L8,Interior,D2,Interior_D2,T2_12pm,75,23.75,1.94,9/15/22,12:18:47PM,wye,W33_L8_D2_T2,2,2,23.631,4.56,183.7,6.96,-0.24,9.91,2.88,2.86,14.96,60.14,16.3,50.9,1.133,-0.1,38.91657,-76.1414,0.879,0.227,0.128,10.5,8.6,22.276,11.769,1.472,0.197,10.507,127.49178,966.6,88.410108
34,W34,water,Wye,Wye_water,L8,Interior,D3,Interior_D3,T2_12pm,75,34.01,1.94,9/15/22,12:20:10PM,wye,W34_L8_D3_T2,3,2,23.479,7.33,182.9,7.07,-0.3,11.58,2.03,2.02,9.17,36.84,15.48,48.34,2.025,0.4,38.91656,-76.1414,0.684,0.2596,0.068,12.5,18.7,19.405,9.491,1.672,0.26,9.914,117.649602,774.9,73.494568
