no,sample-id,sample-type,pond-name,sample-type-pond,sample-location,sample-water-location,sample-depth,sample-location-depth,time-of-day,dna-elution-vol,dna-concentration,dna-qual,Date,Time,Site,SampleID,Depth,Time of Day,Temperature,DO mg/L,SPC-uS/cm,pH,UVNOx mg/L,NTU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,fDOM RFU,fDOM ppb,DEP m,ALT m,Lat,Lon,PO4,NH3,NO3,ECCFU,ECMPN,TC ,TIC,TN,NN,TOC,CDOM,INV,PHYC
35,W35,water,Wye,Wye_water,L9,Bank,D1,Bank_D1,T2_12pm,75,61.87,1.92,9/15/22,12:24:01PM,wye,W35_L9_D1_T2,1,2,24.192,13.52,181.7,7.75,-0.58,16.43,10.12,10.05,59.41,238.93,14.64,45.71,0.036,0.6,38.91676,-76.14151,0.792,0.0319,0.034,3,6.3,22.432,11.281,1.355,0.232,11.151,180.03182,2037,147.404408
36,W36,water,Wye,Wye_water,L10,Bank,D1,Bank_D1,T2_12pm,75,22,1.94,9/15/22,12:25:24PM,wye,W36_L10_D1_T2,1,2,25.553,21.13,178.6,9.06,-0.5,13.91,7.29,7.24,35.5,142.78,14.87,46.44,0,-0.4,38.91679,-76.14136,0.759,0.018,0.023,4.5,6.3,22.103,11.022,1.289,NA,11.081,139.47672,1009,143.3082
37,W37,water,Wye,Wye_water,L11,Interior,D1,Interior_D1,T2_12pm,75,29.07,1.96,9/15/22,12:27:44PM,wye,W37_L11_D1_T2,1,2,26.462,24.16,176.8,9.34,-0.66,12.72,5.34,5.3,21.12,84.93,14.44,45.08,0.048,-2.5,38.91705,-76.14153,0.741,0.0254,0.066,4,1,21.437,10.834,1.345,NA,10.603,148.67728,1100,126.077412
38,W38,water,Wye,Wye_water,L11,Interior,D2,Interior_D2,T2_12pm,75,22.81,1.93,9/15/22,12:28:38PM,wye,W38_L11_D2_T2,2,2,23.642,7.76,181.6,7.14,-0.36,8.31,1.95,1.94,9.34,37.54,16.25,50.74,1.174,-0.2,38.91708,-76.14156,0.805,0.1318,0.168,6.5,4.1,21.203,11.181,1.439,0.241,10.022,116.330048,724.4,73.316472
39,W39,water,Wye,Wye_water,L11,Interior,D3,Interior_D3,T2_12pm,75,22.32,1.92,9/15/22,12:30:09PM,wye,W39_L11_D3_T2,3,2,23.513,8.42,181.8,7.06,-0.31,8.21,1.79,1.78,7.69,30.89,15.98,49.91,1.631,0.8,38.91705,-76.14149,0.765,0.1568,0.029,12.5,16.1,22.042,11.409,1.53,0.325,10.633,111.705556,661.3,67.929068
40,W40,water,Wye,Wye_water,L12,Bank,D1,Bank_D1,T2_12pm,75,26.86,1.94,9/15/22,12:32:26PM,wye,W40_L12_D1_T2,1,2,26.111,22.09,177,9.56,-0.5,16.12,7.49,7.43,49.31,198.32,14.74,46.01,0.019,-2.1,38.91727,-76.14158,0.762,0.0295,0.013,1.5,3.1,20.983,10.613,1.289,NA,10.37,130.27616,891.1,137.163888
41,W41,water,Wye,Wye_water,L1,Bank,D1,Bank_D1,T3_3pm,75,36.7,1.63,9/15/22,02:51:17PM,wye,W41_L1_D1_T3,1,3,26.624,23.94,178.5,9.36,-2.68,15.98,4.41,4.38,19.05,76.6,12.52,39.1,0.036,3.1,38.9156,-76.14119,0.757,0.0243,0.022,7.5,2,20.432,10.408,1.319,NA,10.024,140.08202,947.8,113.432596
42,W42,water,Wye,Wye_water,L2,Interior,D1,Interior_D1,T3_3pm,75,43.55,1.97,9/15/22,02:57:26PM,wye,W42_L2_D1_T3,1,3,27.082,27.4,178,9.56,-1.33,15.46,8.21,8.16,38.81,156.07,13.59,42.42,0.026,0.6,38.91573,-76.14127,0.719,0.0352,0.014,4.5,4.1,19.523,9.677,1.028,0.191,9.846,139.71884,975.4,113.2545
43,W43,water,Wye,Wye_water,L2,Interior,D2,Interior_D2,T3_3pm,75,26.89,1.94,9/15/22,02:58:15PM,wye,W43_L2_D2_T3,2,3,23.621,6.05,184.4,7.05,-0.81,8.45,1.74,1.73,7.23,29.05,16.54,51.64,1.08,0.5,38.91576,-76.1413,0.857,0.2911,0.03,14.5,24.3,21.814,11.363,1.544,0.212,10.451,115.555264,676.9,63.298572
44,W44,water,Wye,Wye_water,L2,Interior,D3,Interior_D3,T3_3pm,75,27.85,1.9,9/15/22,03:00:18PM,wye,W44_L2_D3_T3,3,3,23.504,1.82,188.9,6.78,-0.27,12.5,1.76,1.75,7.85,31.53,16.57,51.74,1.778,12.2,38.91576,-76.14132,0.891,0.5252,0.032,14.5,12,20.339,10.602,1.79,NA,9.737,115.68843,665,65.658344
45,W45,water,Wye,Wye_water,L3,Bank,D1,Bank_D1,T3_3pm,75,61.28,1.93,9/15/22,03:02:56PM,wye,W45_L3_D1_T3,1,3,26.915,25.24,175.6,9.38,-0.9,13.83,6.51,6.47,29.18,117.36,14.7,45.89,0.017,7.4,38.91599,-76.14138,0.754,0.0447,0.02,5.5,6.3,20.24,9.734,1.408,NA,10.506,151.70378,1157,103.859936
46,W46,water,Wye,Wye_water,L4,Bank,D1,Bank_D1,T3_3pm,75,32.32,1.95,9/15/22,03:04:09PM,wye,W46_L4_D1_T3,1,3,27.464,25.98,176,9.44,-1.35,12.41,4.7,4.67,15.5,62.34,14.59,45.55,0.011,-0.2,38.91598,-76.14126,0.694,0.0274,0.012,4,13.5,19.074,9.23,1.227,NA,9.844,154.85134,1158,128.8379
47,W47,water,Wye,Wye_water,L5,Interior,D1,Interior_D1,T3_3pm,75,38.15,1.9,9/15/22,03:06:23PM,wye,W47_L5_D1_T3,1,3,26.539,23,178.2,9.26,-1.04,11.39,3.75,3.73,13.86,55.72,14.98,46.77,0.008,-1,38.91611,-76.14138,0.667,0.023,0.009,7.5,6.3,19.693,9.556,1.22,NA,10.137,140.68732,952.5,108.13424
48,W48,water,Wye,Wye_water,L5,Interior,D2,Interior_D2,T3_3pm,75,28.9,1.86,9/15/22,03:07:08PM,wye,W48_L5_D2_T3,2,3,23.638,6.77,183.5,7.1,-0.86,8.84,1.71,1.7,7.86,31.57,16.08,50.22,1.15,2.3,38.91612,-76.14138,0.884,0.2022,0.054,10.5,6.3,21.049,11.256,1.378,0.22,9.793,114.792586,671.6,66.905016
49,W49,water,Wye,Wye_water,L5,Interior,D3,Interior_D3,T3_3pm,75,30.62,1.88,9/15/22,03:07:49PM,wye,W49_L5_D3_T3,3,3,23.517,6.49,182.2,7.01,-0.67,10.69,1.83,1.82,9.87,39.65,15.78,49.26,1.907,-1.5,38.91612,-76.14138,0.721,0.2897,0.085,12.5,8.5,20.514,10.802,1.568,0.244,9.712,114.066226,667.9,68.596928
50,W50,water,Wye,Wye_water,L6,Bank,D1,Bank_D1,T3_3pm,75,105.34,1.9,9/15/22,03:09:47PM,wye,W50_L6_D1_T3,1,3,27.05,27.95,176.1,9.49,-1.61,31.16,17.78,17.66,94.65,380.71,11.56,36.1,0.047,-1,38.91637,-76.14146,0.76,0.023,0.03,2,6.3,20.647,9.96,1.492,0.193,10.687,181.6056,1523,140.992952
51,W51,water,Wye,Wye_water,L7,Bank,D1,Bank_D1,T3_3pm,75,39.22,1.89,9/15/22,03:10:45PM,wye,W51_L7_D1_T3,1,3,27.274,26.38,176.3,9.44,0.15,49.1,3.39,3.37,12.18,48.98,14.66,45.78,0.004,2.5,38.91632,-76.14127,0.758,0.0399,0.039,11,22.8,19.903,9.91,1.218,NA,9.993,155.21452,1141,117.03904
52,W52,water,Wye,Wye_water,L8,Interior,D1,Interior_D1,T3_3pm,75,153.82,1.9,9/15/22,03:13:01PM,wye,W52_L8_D1_T3,1,3,25.749,23.06,178.5,9.01,-3.5,29.4,10.41,10.34,55.18,221.91,12.5,39.02,0.033,-1.5,38.91656,-76.14136,0.911,0.0567,0.009,7.5,7.4,21.877,10.18,1.661,NA,11.697,231.36126,2269,154.21658
53,W53,water,Wye,Wye_water,L8,Interior,D2,Interior_D2,T3_3pm,75,21.14,1.83,9/15/22,03:13:40PM,wye,W53_L8_D2_T3,2,3,23.659,6.83,180.8,7.07,-0.73,8.08,1.7,1.69,7.99,32.11,16.15,50.43,1.112,-1.1,38.91656,-76.14137,0.764,0.1442,0.059,6.5,6.3,20.437,11.066,1.035,0.226,9.371,115.531052,658,69.17574
54,W54,water,Wye,Wye_water,L8,Interior,D3,Interior_D3,T3_3pm,75,27.57,1.89,9/15/22,03:14:18PM,wye,W54_L8_D3_T3,3,3,23.485,6.74,182.3,7.03,-0.56,12.57,2.05,2.03,10.54,42.36,14.59,45.55,1.97,-1.4,38.91657,-76.14139,0.699,0.3026,0.104,11,18.5,21.013,11.133,1.558,0.248,9.88,115.978974,749.7,73.583616
55,W55,water,Wye,Wye_water,L9,Bank,D1,Bank_D1,T3_3pm,75,65.34,1.9,9/15/22,03:15:52PM,wye,W55_L9_D1_T3,1,3,26.808,27.94,176.7,9.54,-1.12,18.72,9.44,9.38,58.93,237.01,14.04,43.83,0.018,-2.3,38.91674,-76.14151,0.734,0.0407,0.021,4,10.7,20.353,10.083,1.254,NA,10.27,180.87924,1638,172.872136
56,W56,water,Wye,Wye_water,L10,Bank,D1,Bank_D1,T3_3pm,75,44.96,1.89,9/15/22,03:16:24PM,wye,W56_L10_D1_T3,1,3,26.557,26.32,176.7,9.39,-0.98,23.36,9.16,9.1,48.23,193.99,13.81,43.1,0.031,-2.7,38.91675,-76.14149,0.767,0.0417,0.029,4,6.2,20.457,9.997,1.359,NA,10.46,136.8134,854.5,105.24018
57,W57,water,Wye,Wye_water,L11,Interior,D1,Interior_D1,T3_3pm,75,38.62,1.85,9/15/22,03:20:44PM,wye,W57_L11_D1_T3,1,3,26.419,24.7,176.8,9.2,-0.66,30.79,10.12,10.05,47.32,190.29,14.53,45.38,0.046,-3.9,38.91704,-76.14153,0.735,0.0305,0.011,6,6.2,19.875,10.02,1.223,NA,9.855,131.24464,816.3,88.899872
58,W58,water,Wye,Wye_water,L11,Interior,D2,Interior_D2,T3_3pm,75,24.54,1.86,9/15/22,03:21:30PM,wye,W58_L11_D2_T3,2,3,23.767,9.9,179.3,7.26,-0.33,9.84,2.44,2.43,12,48.24,16.08,50.2,1.145,-1.5,38.91703,-76.14152,0.815,0.1069,0.135,14.5,22.8,22.019,11.161,1.585,0.292,10.858,116.390578,785,73.049328
59,W59,water,Wye,Wye_water,L11,Interior,D3,Interior_D3,T3_3pm,75,14.59,1.9,9/15/22,03:22:29PM,wye,W59_L11_D3_T3,3,3,23.549,7.51,181.5,7.05,-0.51,9.88,1.91,1.89,9.69,38.95,15.91,49.68,1.557,-0.6,38.91704,-76.14152,0.724,0.2168,0.096,10.5,13.2,20.486,11.045,1.506,0.277,9.441,115.397886,743.1,74.206952
60,W60,water,Wye,Wye_water,L12,Bank,D1,Bank_D1,T3_3pm,75,47.53,1.9,9/15/22,03:25:01PM,wye,W60_L12_D1_T3,1,3,26.77,26.87,176.2,9.44,-0.32,25.28,6.9,6.85,41.16,165.54,14.38,44.9,0.023,-3.6,38.91731,-76.14158,0.767,0.0284,0.053,4,1,21.102,10.74,1.245,0.205,10.362,141.89792,905.4,96.825144
61,Sed.blank.filter,control_neg,NA,NA_control_neg,NA,NA,NA,NA,NA,75,1.37,1.06,NA,NA,NA,Ct_1,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,S2,sediment,Wye,Wye_sediment,NA,Interior,NA,NA,NA,75,17.4,1.88,NA,NA,NA,S2_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,S3,sediment,Wye,Wye_sediment,NA,Bank,NA,NA,NA,75,12.8,2.02,NA,NA,NA,S3_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,S4,sediment,Wye,Wye_sediment,NA,Bank,NA,NA,NA,75,7.5,2.04,NA,NA,NA,S4_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,S5,sediment,Wye,Wye_sediment,NA,Interior,NA,NA,NA,75,17.6,1.95,NA,NA,NA,S5_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,S6,sediment,Wye,Wye_sediment,NA,Bank,NA,NA,NA,75,11.8,1.94,NA,NA,NA,S6_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,S7,sediment,Wye,Wye_sediment,NA,Bank,NA,NA,NA,75,7.8,2.07,NA,NA,NA,S7_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,S8,sediment,Wye,Wye_sediment,NA,Interior,NA,NA,NA,75,22.6,1.93,NA,NA,NA,S8_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,S9,sediment,Wye,Wye_sediment,NA,Bank,NA,NA,NA,75,6.5,2.09,NA,NA,NA,S9_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,S10,sediment,Wye,Wye_sediment,NA,Bank,NA,NA,NA,75,17.96,1.75,NA,NA,NA,S10_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,S11,sediment,Wye,Wye_sediment,NA,Interior,NA,NA,NA,75,17.74,1.85,NA,NA,NA,S11_T3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Sed.blank.DIW,control_neg,NA,NA_control_neg,NA,NA,NA,NA,NA,75,1.17,2.06,NA,NA,NA,Ct_2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NC4,control_neg,NA,NA_control_neg,NA,NA,NA,NA,NA,75,2.4,1.95,NA,NA,NA,Ct_3,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NC2,control_neg,NA,NA_control_neg,NA,NA,NA,NA,NA,75,2.7,1.38,NA,NA,NA,Ct_4,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NC3,control_neg,NA,NA_control_neg,NA,NA,NA,NA,NA,75,3.9,1.78,NA,NA,NA,Ct_5,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,PCR.blank,control_neg,NA,NA_control_neg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ct_6,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,Zymo.Pos.Ctrl,control_pos,NA,NA_control_pos,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,Ct_7,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA