index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Cyanobacteria,70,124,132,0,43,590,543,284,40,463,245,253,918,254,4,135,544,533,345,585,564,588,599,710,924,798,836,458,854,668,972,648,645,551,1021,453,724,491,621,777,854,855,653,812,824,1191,1026,695,858,667,851,471,615,856,553,485,695,739,770,946,586,682,1298,937,1086,1087,817,1241,954,814,1119,502,1104,458,670,390,0
D_0__Bacteria;D_1__Proteobacteria,105,195,104,45,517,235,530,256,564,310,770,990,332,952,0,100,443,376,522,474,651,590,574,854,679,545,615,417,235,634,727,828,707,563,337,746,626,1017,484,818,735,886,918,845,708,636,830,996,849,607,747,993,595,1180,846,602,789,736,1236,1060,453,774,808,915,1309,1384,1149,814,602,536,843,438,954,460,343,603,246
D_0__Bacteria;D_1__Bacteroidetes,38,18,0,0,417,91,262,104,242,200,180,806,168,726,7,46,291,387,185,163,302,395,240,392,364,444,537,233,169,334,460,470,338,250,250,259,331,389,375,492,435,405,505,343,325,438,347,538,477,279,335,491,289,653,379,201,330,298,419,400,253,184,475,415,588,616,598,456,360,466,589,424,340,248,167,332,0
D_0__Bacteria;D_1__Verrucomicrobia,0,54,11,0,116,0,50,12,15,51,52,139,8,150,0,8,90,31,49,54,70,112,94,90,60,136,120,76,7,102,122,119,99,67,88,121,137,158,86,43,93,92,144,110,122,86,74,211,128,112,76,86,65,69,139,80,73,71,194,184,71,20,110,51,140,198,123,83,105,174,143,103,96,88,45,87,0
D_0__Bacteria;D_1__Firmicutes,0,0,0,0,92,1226,1647,153,393,821,258,219,1242,301,0,0,8,0,4,2,2,15,2,0,0,4,5,7,16,0,0,5,11,0,16,2,0,14,5,0,14,3,0,14,11,18,51,6,26,0,13,0,14,9,4,11,20,14,0,16,9,14,13,15,4,39,3,2,9,7,7,8,14,13,0,0,455
D_0__Bacteria;D_1__Actinobacteria,8,9,0,0,71,34,119,10,27,87,0,43,42,44,0,0,0,19,0,0,20,0,0,23,0,10,15,0,16,0,15,0,29,15,0,45,0,0,14,35,13,58,17,49,30,14,56,34,0,19,35,39,0,16,18,47,20,51,41,68,0,14,74,14,77,54,90,44,27,21,17,10,7,0,22,5,0
D_0__Bacteria;D_1__Planctomycetes,0,0,0,0,7,6,0,0,0,12,2,5,22,13,0,4,10,0,0,10,3,0,0,0,22,0,15,13,0,0,21,21,0,0,26,0,16,31,0,3,26,15,0,2,0,7,17,6,0,0,36,0,0,52,24,0,6,21,6,16,0,0,11,34,18,37,43,4,2,0,12,10,20,0,0,4,0
D_0__Bacteria;D_1__Chloroflexi,0,0,0,0,74,27,0,34,20,36,65,277,57,272,0,0,0,14,0,5,0,25,17,20,0,0,15,0,0,18,16,13,18,8,11,13,26,23,11,27,16,7,26,29,30,28,28,22,34,0,27,21,12,21,21,11,0,14,22,26,0,11,25,19,56,56,28,25,17,15,27,15,24,0,6,0,0
D_0__Bacteria;D_1__Acidobacteria,0,0,0,0,30,11,37,13,32,5,72,53,4,49,0,0,0,0,0,0,7,17,0,10,0,0,11,0,0,3,0,0,12,0,0,0,2,15,0,8,0,9,16,15,0,0,6,0,16,4,0,15,0,20,9,0,0,0,14,13,0,0,0,9,14,13,6,0,5,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Omnitrophicaeota,0,0,0,0,27,2,23,14,8,6,51,36,10,44,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0
D_0__Archaea;D_1__Euryarchaeota,0,0,0,0,2,0,0,0,21,0,0,0,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Latescibacteria,0,0,0,0,3,3,7,0,0,4,17,0,0,25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Chlamydiae,0,0,0,0,16,6,33,3,2,0,7,2,7,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Nanoarchaeaeota,0,23,0,0,6,0,8,0,5,3,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Patescibacteria,0,0,0,0,8,43,21,0,20,22,15,31,59,9,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,7,0,8,7,2,5,10,0,0,11,10,0,8,0,16,0,0,3,0,5,15,6,3,0,5,12,2,8,0,0,0,13,4,0,0,0,0,6,0,0,4,0,2,0
D_0__Bacteria;D_1__Nitrospirae,0,0,0,0,11,0,0,0,17,5,23,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Rokubacteria,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Dependentiae,0,0,0,0,12,0,4,0,0,0,6,15,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Epsilonbacteraeota,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Fibrobacteres,0,0,0,0,10,0,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;__,0,0,0,0,13,7,2,0,5,6,12,2,3,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__LCP-89,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Spirochaetes,0,0,0,0,2,2,2,2,20,0,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Elusimicrobia,0,0,0,0,6,2,0,0,3,0,0,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Cloacimonetes,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Zixibacteria,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Margulisbacteria,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Kiritimatiellaeota,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Lentisphaerae,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__TA06,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Deinococcus-Thermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__WOR-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__FCPU426,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Thaumarchaeota,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Hydrogenedentes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Modulibacteria,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Fusobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acetothermia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0